Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-08-01 18:19:10,false,"Cape Town Running","10.27","351","50:36","130","154","0.0","168","180","4:56","1:19","91","92","1.21","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-31 06:23:37,false,"Cape Town Running","7.36","311","31:40","159","180","0.0","180","194","4:18","3:15","7","6","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-29 08:11:23,false,"Cape Town Running","24.92","1,731","4:17:17","139","185","0.0","140","248","10:20","4:11","1,779","1,581","0.68","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-28 10:20:10,false,"Cape Town Running","14.13","1,308","2:49:24","150","188","0.0","136","248","11:59","5:00","1,190","1,130","0.61","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-27 06:03:23,false,"Cape Town Running","7.21","243","38:03","123","141","0.0","172","178","5:17","4:16","36","37","1.10","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-26 07:03:11,false,"Cape Town Running","8.13","262","40:48","127","157","0.0","170","178","5:01","3:39","42","42","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-25 17:48:58,false,"Cape Town Running","10.82","472","49:51","153","178","0.0","172","248","4:36","3:03","18","18","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-24 17:46:15,false,"Cape Town Running","10.16","510","51:09","159","174","0.0","168","176","5:02","3:42","91","89","1.18","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-21 11:58:47,false,"Overstrand Running","1.68","125","12:15","160","173","0.0","152","168","7:18","5:00","32","148","0.90","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-21 08:54:54,false,"Overstrand Running","18.97","1,235","2:28:18","156","179","0.0","152","246","7:49","0:20","1,288","1,179","0.84","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-07-19 07:25:19,false,"Cape Town Running","10.23","610","53:28","166","190","0.0","170","184","5:14","3:49","170","171","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
